id,appearance,isEnding
39668,1,1
38351,1,1
33702,1,1
19645,1,1
41314,3,1
39093,2,1
39999,1,1
29490,2,1
782,1,1
18878,2,1
42393,1,1
46365,1,1
13663,3,1
5941,1,1
47798,3,1
6768,1,1
25490,2,1
45822,4,1
48373,1,1
5528,2,1
50381,1,1
49751,2,1
14707,1,1
42837,1,1
41257,1,1
38247,4,1
23019,3,1
28029,1,1
44108,1,1
52182,2,1
44437,3,1
31985,1,1
17011,1,1
29515,1,1
35711,1,1
28621,1,1
34175,2,1
21171,1,1
37848,2,1
28165,1,1
45074,2,1
10255,1,1
26720,2,1
36803,1,1
18827,2,1
12782,1,1
41724,1,1
17551,2,1
8506,4,1
7862,1,1
19827,2,1
12617,1,1
36659,1,1
33666,2,1
12648,1,1
24135,1,1
14899,2,1
45014,1,1
15732,1,1
3079,1,1
35177,1,1
52161,5,1
52070,2,1
33661,3,1
34201,1,1
27094,2,1
28703,1,1
19633,4,1
17528,1,1
34884,2,1
30735,3,1
13156,2,1
18607,1,1
42936,1,1
12515,2,1
17630,2,1
11306,2,1
49663,5,1
31350,3,1
24959,1,1
23007,1,1
9244,1,1
5872,2,1
42432,3,1
32831,1,1
1352,3,1
49624,1,1
1326,2,1
50443,1,1
48137,2,1
16647,2,1
34182,1,1
52419,3,1
19016,3,1
17699,1,1
3133,2,1
12996,1,1
21784,1,1
2922,1,1
19787,1,1
52505,6,1
52515,3,1
52626,5,1
7401,3,1
29181,3,1
23684,4,1
39116,3,1
33308,4,1
40221,5,1
44913,2,1
39027,5,1
50471,2,1
18282,2,1
39827,3,1
45683,1,1
32022,6,1
26875,3,1
41501,3,1
42322,1,1
31864,3,1
45987,4,1
43611,1,1
49051,1,1
49377,5,1
11356,7,1
17616,3,1
28132,1,1
51183,1,1
34161,4,1
7660,1,1
29752,6,1
19967,2,1
1452,3,1
29507,2,1
17688,3,1
30354,1,1
44308,3,1
48909,2,1
40168,2,1
23124,6,1
44846,1,1
52021,1,1
50525,2,1
45036,1,1
45845,2,1
40303,3,1
38120,4,1
48072,1,1
22690,4,1
18396,2,1
41984,4,1
42630,1,1
33836,3,1
42445,3,1
47725,4,1
44350,2,1
44423,2,1
10224,2,1
26500,1,1
52059,6,1
42052,3,1
40689,1,1
41346,1,1
48536,2,1
47393,1,1
24059,1,1
48492,3,1
21952,4,1
26048,5,1
616,1,1
10195,2,1
18378,1,1
44865,1,1
573,1,1
41897,3,1
51275,1,1
23293,1,1
27571,3,1
3926,1,1
50776,4,1
37690,1,1
2379,3,1
27316,1,1
25310,6,1
36658,2,1
13400,1,1
31839,2,1
6373,2,1
48720,2,1
28011,3,1
31483,2,1
27938,5,1
32266,1,1
41379,4,1
51807,2,1
24574,1,1
41515,1,1
534,3,1
45491,4,1
20504,3,1
44210,4,1
24867,3,1
34912,3,1
5282,3,1
38555,4,1
3677,3,1
24644,3,1
41888,2,1
51163,2,1
461,2,1
21269,3,1
10970,3,1
31112,3,1
42428,2,1
50717,2,1
31110,3,1
22147,4,1
19783,3,1
45517,2,1
1805,2,1
51844,3,1
22851,4,1
2503,3,1
50182,3,1
8402,3,1
9775,2,1
43964,2,1
31767,3,1
15434,2,1
33599,4,1
4587,5,1
14270,3,1
52142,3,1
51744,5,1
46796,3,1
19672,1,1
31798,2,1
13665,4,1
48893,1,1
24390,3,1
44384,5,1
29038,2,1
47136,5,1
43259,3,1
7936,3,1
52205,4,1
37543,2,1
5148,2,1
2188,3,1
39780,2,1
9665,2,1
40282,1,1
43683,3,1
7656,5,1
9622,2,1
37714,4,1
3242,3,1
16343,3,1
23251,1,1
17930,3,1
40621,5,1
41705,2,1
3562,2,1
52215,1,1
20372,2,1
47456,2,1
8894,3,1
43093,2,1
22447,5,1
51599,2,1
14271,3,1
41546,1,1
30774,3,1
14331,1,1
7775,2,1
21044,3,1
7787,2,1
8719,3,1
38175,4,1
40328,3,1
22259,2,1
16959,1,1
18318,3,1
34938,3,1
52484,2,1
44958,2,1
40421,3,1
28218,4,1
13440,3,1
19399,2,1
19604,2,1
4633,3,1
33986,2,1
15683,1,1
39917,1,1
33694,2,1
12407,2,1
28738,1,1
5297,1,1
18795,2,1
38203,2,1
34530,4,1
11133,5,1
31247,6,1
21648,4,1
48643,4,1
16289,5,1
26450,5,1
22065,5,1
10555,5,1
18157,3,1
43190,6,1
14715,6,1
9220,4,1
28705,5,1
23572,6,1
36902,4,1
42529,4,1
47484,3,1
11969,3,1
51870,3,1
37874,3,1
34152,5,1
41735,3,1
1438,4,1
5740,5,1
27677,3,1
26904,5,1
29125,3,1
13716,5,1
31616,3,1
50084,2,1
50792,6,1
40975,3,1
17986,2,1
14725,4,1
13375,2,1
19470,3,1
3843,6,1
19523,5,1
32846,4,1
5782,5,1
29130,4,1
39339,6,1
15756,3,1
39944,4,1
31020,3,1
1413,6,1
23145,4,1
35844,3,1
13764,2,1
48691,3,1
8335,3,1
1922,1,1
37071,4,1
17151,4,1
17664,4,1
5949,3,1
26002,3,1
