id,appearance,isEnding
6601,1,1
30489,1,1
45301,2,1
50342,3,1
24697,2,1
24105,3,1
32965,1,1
49674,1,1
11032,3,1
49350,1,1
49255,1,1
14415,1,1
14094,1,1
5054,3,1
34872,2,1
32746,3,1
18691,2,1
35768,1,1
31199,1,1
23289,1,1
8003,1,1
9090,1,1
46684,2,1
48766,1,1
47298,1,1
6279,2,1
43414,2,1
20284,2,1
44323,2,1
28513,2,1
30094,2,1
35991,2,1
35133,1,1
46067,1,1
450,1,1
20681,1,1
13753,2,1
46136,1,1
47816,1,1
9786,1,1
30540,1,1
52609,1,1
36837,1,1
5005,2,1
39893,1,1
2610,1,1
34315,2,1
45813,2,1
29810,1,1
26788,1,1
38236,1,1
42236,2,1
18872,1,1
47954,1,1
16783,2,1
41489,1,1
47524,1,1
15582,2,1
11928,1,1
36981,1,1
24821,2,1
19161,1,1
41994,1,1
38890,2,1
8674,1,1
45392,1,1
18148,1,1
4509,1,1
7063,1,1
11230,2,1
36956,2,1
3152,2,1
40725,2,1
8755,1,1
40873,1,1
2770,1,1
46712,2,1
22776,2,1
37606,1,1
33131,1,1
48071,1,1
19957,1,1
12580,1,1
47923,1,1
219,1,1
51605,3,1
24470,1,1
25690,2,1
37485,1,1
47111,1,1
50777,3,1
7867,1,1
49763,1,1
20346,1,1
32737,2,1
7594,1,1
13719,1,1
25068,1,1
50132,1,1
48372,1,1
47047,5,1
44649,5,1
9830,2,1
48909,1,1
43420,1,1
42762,2,1
52241,1,1
48919,3,1
20267,1,1
52021,1,1
40219,2,1
37040,3,1
44186,3,1
214,2,1
36185,2,1
47349,2,1
40600,1,1
4375,4,1
44575,2,1
19345,3,1
29169,2,1
44359,3,1
25286,3,1
34087,3,1
24581,1,1
33475,4,1
26691,2,1
47146,2,1
11901,2,1
13963,2,1
37091,1,1
46076,1,1
23371,2,1
8505,2,1
19177,4,1
46801,3,1
43489,2,1
48536,2,1
22703,3,1
51554,1,1
20494,2,1
20544,5,1
22151,2,1
26071,2,1
10769,2,1
43660,4,1
34372,2,1
10263,2,1
45987,1,1
31376,3,1
37690,3,1
23363,5,1
18939,2,1
30835,2,1
285,4,1
30287,4,1
22673,5,1
30886,4,1
48457,3,1
827,1,1
3451,5,1
29564,1,1
7392,1,1
3636,2,1
24526,1,1
31174,3,1
26637,3,1
34682,3,1
34133,3,1
41249,2,1
32370,5,1
32468,2,1
31549,1,1
22314,3,1
14819,4,1
39791,3,1
25401,1,1
50566,4,1
45052,1,1
41230,3,1
43496,3,1
39737,2,1
41840,2,1
45683,2,1
40242,2,1
26022,1,1
21952,5,1
41390,3,1
25998,1,1
26636,2,1
32303,1,1
49131,1,1
31796,1,1
46721,1,1
38493,3,1
132,3,1
51536,2,1
8887,1,1
29171,4,1
44921,1,1
34830,2,1
8005,2,1
48369,2,1
33805,3,1
36257,4,1
42680,3,1
4055,4,1
4973,2,1
46662,4,1
17458,4,1
42603,4,1
27795,3,1
4650,2,1
11660,2,1
51131,4,1
36243,3,1
51443,2,1
20032,1,1
40125,2,1
32976,1,1
47336,1,1
7656,5,1
28433,2,1
6714,3,1
26732,2,1
30015,2,1
30085,2,1
46005,1,1
50423,2,1
49788,4,1
42594,2,1
20869,3,1
31731,4,1
31798,3,1
50287,2,1
45998,3,1
47128,3,1
2290,3,1
20525,3,1
64,4,1
29773,2,1
3725,2,1
3503,6,1
39345,4,1
1173,3,1
6528,2,1
35763,4,1
36525,4,1
13162,2,1
6756,2,1
43573,3,1
34732,3,1
23415,3,1
27150,1,1
16479,3,1
51269,6,1
27824,2,1
28801,3,1
30999,1,1
49746,1,1
23083,2,1
25137,3,1
30351,1,1
49767,3,1
40677,4,1
48433,2,1
36821,1,1
47272,3,1
30200,5,1
40726,2,1
23671,2,1
10812,3,1
33944,2,1
28834,1,1
24639,1,1
17160,2,1
7343,2,1
31598,1,1
19930,3,1
32289,2,1
48908,1,1
47499,4,1
23450,2,1
13574,2,1
46687,5,1
20067,1,1
35638,4,1
43633,3,1
26531,1,1
40756,1,1
11920,2,1
39166,1,1
41382,1,1
24224,1,1
43188,1,1
6261,1,1
27683,2,1
49112,4,1
18907,5,1
40182,3,1
21648,2,1
37874,3,1
11004,3,1
33103,2,1
11507,2,1
5782,2,1
15381,4,1
38203,4,1
37790,4,1
42392,1,1
36945,1,1
1914,3,1
16697,2,1
1413,2,1
23572,2,1
34476,2,1
14737,2,1
9220,2,1
17684,2,1
19523,2,1
2977,2,1
31247,1,1
18045,2,1
32846,1,1
5740,2,1
23145,3,1
43241,2,1
11133,2,1
10555,2,1
14473,3,1
14715,2,1
11679,1,1
19053,1,1
12851,2,1
34807,1,1
1620,2,1
36402,2,1
29218,3,1
22723,1,1
13955,2,1
40610,1,1
19470,1,1
37146,2,1
15638,2,1
15247,1,1
5090,3,1
10399,1,1
22239,4,1
43122,1,1
45211,2,1
10914,3,1
24112,1,1
42155,2,1
20266,2,1
3036,2,1
6787,1,1
29130,1,1
37071,1,1
49196,2,1
40975,5,1
48643,2,1
28220,1,1
3669,2,1
28696,2,1
35869,3,1
17664,2,1
32229,2,1
47484,1,1
434,4,1
22485,1,1
11138,1,1
32091,3,1
41735,1,1
36346,3,1
22065,1,1
26161,1,1
51461,1,1
5007,3,1
31253,1,1
13692,2,1
50792,2,1
10191,3,1
17574,3,1
2434,1,1
14725,4,1
52328,1,1
38631,1,1
38277,1,1
34813,1,1
42174,1,1
10947,3,1
48360,2,1
25092,2,1
35403,2,1
28705,1,1
42014,2,1
33041,1,1
43379,8,1
17151,2,1
28474,3,1
49833,5,1
52461,8,1
30024,5,1
38993,5,1
44501,2,1
20885,5,1
12927,3,1
27276,3,1
35372,1,1
48718,3,1
45839,4,1
44022,8,1
49049,3,1
22779,3,1
49648,3,1
46890,5,1
45488,3,1
28941,3,1
19525,2,1
8801,2,1
3056,2,1
51737,2,1
51909,3,1
27572,1,1
19480,1,1
37502,2,1
40175,5,1
49162,5,1
45537,3,1
49934,6,1
48029,3,1
22908,3,1
50054,1,1
36598,2,1
23616,3,1
46466,4,1
20738,1,1
49962,5,1
45296,2,1
44406,4,1
31532,1,1
51551,1,1
40020,5,1
34531,8,1
27772,3,1
949,3,1
47973,11,1
42601,4,1
34856,2,1
34311,1,1
35982,4,1
17058,5,1
11202,1,1
20327,3,1
34626,1,1
29212,5,1
37025,4,1
51166,3,1
47304,2,1
46494,4,1
36323,3,1
47671,2,1
27585,5,1
17088,5,1
30564,2,1
50804,3,1
42552,1,1
28901,1,1
1119,1,1
44467,2,1
37139,3,1
39862,2,1
35678,2,1
47302,6,1
48774,8,1
21540,2,1
17592,4,1
34708,2,1
34747,4,1
4680,3,1
21318,1,1
51786,2,1
30832,2,1
338,4,1
44749,3,1
50753,5,1
2883,2,1
26003,2,1
45043,2,1
34973,5,1
20385,1,1
36353,1,1
27987,4,1
46101,2,1
36105,2,1
28878,7,1
30316,5,1
52188,5,1
45442,4,1
2865,2,1
33679,2,1
31118,4,1
50137,4,1
36115,3,1
51583,5,1
49276,9,1
3370,7,1
6955,1,1
43503,5,1
39885,4,1
47991,4,1
35333,2,1
10218,2,1
34428,2,1
25301,2,1
7294,1,1
42699,5,1
11938,2,1
14847,4,1
12159,2,1
42348,10,1
38763,5,1
8526,1,1
31851,7,1
42502,12,1
50172,4,1
30284,4,1
22009,1,1
34849,3,1
28891,6,1
46315,3,1
15640,2,1
39186,6,1
20480,3,1
38374,3,1
47460,3,1
16340,8,1
37607,3,1
36624,2,1
22578,8,1
20421,2,1
2361,5,1
1794,5,1
37983,6,1
29037,2,1
41872,4,1
47983,3,1
51977,3,1
18281,5,1
23159,4,1
23151,2,1
42353,3,1
46910,4,1
31808,1,1
50871,4,1
17618,1,1
9766,1,1
48402,1,1
21399,2,1
35650,4,1
7172,2,1
47948,1,1
1797,3,1
19188,3,1
33958,2,1
50412,4,1
36690,3,1
37596,4,1
3168,9,1
48156,8,1
42625,2,1
37830,1,1
16845,3,1
535,4,1
29619,6,1
38990,5,1
46956,9,1
35738,1,1
35928,5,1
52589,1,1
14026,3,1
35004,5,1
12474,5,1
49264,2,1
29579,1,1
33823,1,1
40410,1,1
12251,2,1
39096,4,1
33495,7,1
18119,2,1
44981,3,1
42258,3,1
43630,5,1
38948,6,1
37164,7,1
11152,6,1
16604,6,1
52382,7,1
11249,5,1
23739,5,1
34320,8,1
45980,4,1
36241,8,1
31898,6,1
43518,11,1
52466,7,1
39053,7,1
