id,appearance,isEnding
4487,18,1
4793,18,1
5345,18,1
7132,18,1
8239,18,1
8492,18,1
12119,18,1
12190,18,1
12373,18,1
12705,18,1
12905,18,1
13349,17,1
13614,17,1
14483,17,1
14874,17,1
14875,17,1
16277,17,1
17789,17,1
23513,17,1
24434,17,1
24451,17,1
25578,16,1
29915,16,1
30180,16,1
31439,16,1
31837,16,1
35682,16,1
36689,16,1
37567,16,1
43040,16,1
43113,16,1
43896,16,1
51021,16,1
51155,16,1
12746,15,1
18141,17,1
11439,14,1
38143,16,1
45678,16,1
37811,15,1
3675,16,1
18074,13,1
1786,14,1
39245,14,1
44230,15,1
1990,13,1
5242,16,1
42378,16,1
31858,11,1
31079,15,1
12405,14,1
23456,11,1
36381,12,1
25701,14,1
3101,14,1
14520,10,1
3320,13,1
4516,13,1
46879,11,1
39479,13,1
9964,10,1
15870,12,1
12765,15,1
14518,12,1
41733,10,1
43719,10,1
41915,11,1
29653,10,1
40192,7,1
6731,9,1
5387,10,1
11274,9,1
49649,10,1
49582,13,1
17990,13,1
49763,8,1
32664,6,1
5324,8,1
46665,8,1
3857,10,1
26254,9,1
19601,9,1
49936,4,1
48174,7,1
17749,9,1
10486,9,1
24438,5,1
30070,8,1
4527,11,1
10142,11,1
50342,12,1
47813,5,1
1409,7,1
31741,8,1
21825,5,1
27561,6,1
31967,9,1
721,7,1
51237,6,1
30917,6,1
16672,2,1
34914,2,1
11298,2,1
15821,2,1
40918,2,1
23527,2,1
31383,2,1
21570,2,1
32929,2,1
47720,2,1
27435,2,1
6825,2,1
24855,2,1
37638,2,1
33521,2,1
11769,2,1
41602,2,1
2995,2,1
39779,2,1
887,1,1
22028,1,1
17074,1,1
28769,2,1
23475,1,1
21551,1,1
27134,2,1
18252,1,1
43427,1,1
29266,1,1
28930,1,1
9915,1,1
619,1,1
36518,1,1
35208,1,1
8678,1,1
39500,1,1
916,1,1
4810,1,1
10163,1,1
11398,1,1
11982,1,1
12738,1,1
13007,1,1
14125,1,1
15365,1,1
18866,1,1
20701,1,1
25415,1,1
25427,1,1
25429,1,1
26851,1,1
